StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q1_10_TEXT,Q2,Q3,Q3_12_TEXT,Q4,Q24,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q8,Q9,Q10,Q11,Q11_6_TEXT,Q12,Q12_8_TEXT,Q13,Q14,Q14_11_TEXT,Q16,Q17_1,Q21,Q21_13_TEXT,Q23,Q22
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your primary role? - Selected Choice,What is your primary role? - Other (please specify) - Text,How many years have you been involved in community-based science?,What sectors have you worked in? (Select all that apply) - Selected Choice,What sectors have you worked in? (Select all that apply) - Other (please specify - Text,What is the geographic scope of your work? (select all that apply),"If willing/applicable, can you share the primary locations/regions of any current or past community-based work?",How do you define success in a community-based project?,"Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Research directly influences policy or management decisions","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Results lead to measurable environmental improvements","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community capacity for data skills increases","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Trust is built between communities and institutions","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Project secures sustained funding","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Findings are accessible and usable by non-scientists","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Publishing a peer-reviewed article","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Publishing a detailed report","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Publishing for a public audience (e.g., blog post, website)","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Communicating interim findings during the project (not just final publications)","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Active collaboration with community members throughout the project lifecycle","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Traditional/local knowledge is integrated with scientific data","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community maintains ownership of data and findings","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Collaborations continue beyond initial project","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Partnerships are equitable, collaborative, empowering, and address social inequalities","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - The community has meaningful say and control over the research process","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community members are compensated for their time and effort","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - There is clear communication on how data and outcomes will be used","Please rate how important each of the following is in defining success in community-based projects.



Scale: 1 (Not important) - 5 (Extremely important) - Community members' viewpoints and perspectives are integrated into the project","Based on your previously identified ""extremely important"" responses, given limited resources, time, and capacity, select your TOP 3 priorities for success in community-based projects.","Are there any priorities or goals not defined above that you find important in defining success? If so, please describe.","If you could track ONE metric of success in community-based science, what would it be?",How do you prefer to be approached and communicated with during collaborative projects? - Selected Choice,How do you prefer to be approached and communicated with during collaborative projects? - Other (please specify) - Text,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Selected Choice,How do you prefer to access data and information in collaborative projects? (Select all that apply) - Other (please specify) - Text,What does a feasible/realistic timeline look like for community-based projects you're involved in?,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Selected Choice,What types of stakeholders do you typically work with in environmental science collaborations? (Select all that apply) - Other (please specify) - Text,"How do you define ""actionable outcomes"" in your field of work?","In your most recent community-based project, how actionable would you say the outcomes were? - 0 = Not Actionable, 5 = Extremely Actionable","In your opinion/experience, what are the primary barriers to actionable outcomes? - Selected Choice","In your opinion/experience, what are the primary barriers to actionable outcomes? - Other (please specify) - Text","Case Studies
If willing, can you briefly describe any successful (or unsuccessful) examples of community-based science from your experience?",Is there anything you think is missing from this survey that we should incorporate?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_10_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_12_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}","{""ImportId"":""QID6_16""}","{""ImportId"":""QID6_17""}","{""ImportId"":""QID6_18""}","{""ImportId"":""QID6_19""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_8_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_11_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_13_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID22_TEXT""}"
2026-01-27 16:57:33,2026-01-27 16:58:45,1,100,72,1,2026-01-27 16:58:46,R_1GD0gGlF8vvIX3I,preview,EN,1,,,,,,,,1,,5,5,5,4,5,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 10:12:34,2026-01-28 10:17:53,0,100,319,1,2026-01-28 10:17:54,R_7QEmLX2x5BWHadz,anonymous,EN,"1,8",,4,"1,7",,4,,,1,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 10:13:54,2026-01-28 11:51:00,0,100,5825,1,2026-01-28 11:51:00,R_3uDJYnwbrMn6EG0,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 11:52:57,2026-01-28 12:02:58,0,100,601,1,2026-01-28 12:02:59,R_60DzU5xpATt7a8t,anonymous,EN,4,,3,"1,2,5,7",,1,,"Community participants feel respected, valued, and heard. 
Data are high quality.
The project is useful and results will benefit the community.
Results are communicated often and widely, in ways that everyone can access.
",4,4,1,5,2,5,2,4,5,5,5,3,2,1,5,4,2,4,5,"4,6,15",,,2,,"1,6,7",,6,"1,3,7",,,1,"7,10,11,12",,,
2026-01-28 11:53:14,2026-01-28 12:05:56,0,100,762,1,2026-01-28 12:05:57,R_7iuIOwlBNzzfH7r,anonymous,EN,"1,8",,4,"1,5,6,7,9",,4,"Costa Rica, Peru, Brazil","Generate answers to the problem statement of the project. Communicate the results back to the data providers and all relevant stakeholders. ",5,4,2,4,3,5,2,3,3,2,5,2,3,2,5,5,3,5,5,"1,6,15",,"How research affects decision-making and perspectives. ",5,,"3,6",,3,"1,2,5,8",,"The information can be directly used to inform action. ",4,"2,4,6,7,9,11",,"I worked with an NGO in Brazil.  I asked them what their needs are / what would be helpful. They didn't know what was feasible, so I did a site visit to understand their values/goals and also got access to their internal data platform. Based on that, I developed 5 brief project ideas and shared them on a GoogleDoc. Then we met via Zoom, and their staff said that one of the ideas would clearly be the most helpful, so I focused on that. It was to use ecosystem service analysis tools to prioritize riparian reforestation areas based on where they would have the most ecosystem service benefits (carbon sequestration and water quality). They are already using it to prioritize reforestation planting areas. ",
2026-01-28 11:50:11,2026-01-28 12:10:32,0,100,1221,1,2026-01-28 12:10:33,R_1udaOek12gaQ3qV,anonymous,EN,"1,8",,2,"1,3",,"1,2","Oahu, Hawaii and California (state-wide) ","Accomplishing a goal that leads to outcomes that benefit the parties involved ",5,4,3,4,3,3,5,3,4,2,4,4,3,4,5,3,3,4,4,"1,7,15",,Attainable and quantifiable results that influence policy or management decisions that leads to a problem being improved on or fixed that is affecting the community of interest,1,,"1,2,4,5",,4,"1,2,3,4,5,6",,"Results that can be used to inform policy and management decisions. ",4,"1,3,4",,,
2026-01-28 11:51:02,2026-01-28 12:13:01,0,100,1318,1,2026-01-28 12:13:01,R_3iMIsgd2FpQlAu5,anonymous,EN,"1,8",,2,"2,4,9",,1,"Bay area, Orange County Santa Ana","I define success as building trust and relationships with community, designing a project that community members are excited about, translating the project into meeting actionable deliverables for community members. I also see success as being able to acquire and sustain funding for the project so that it can outlast my work as a researcher. ",5,3,3,5,5,4,5,4,4,4,5,4,3,5,4,4,5,3,4,"4,5,7",,Trust and relationship building between communities and institutions,1,,"2,3,5",,3,"1,3,4,5,10",,"Having a direct policy or environmental outcome, advancing the interests of the community organization, the work provides reasonable further steps that can be sustained by the community and/or continued institutional partnership. ",3,"1,9,10,11",,"In collaboration with an organization that focuses on environmental justice - the project was initiated by community members who approached institutional researchers with clear objectives. We worked together to find a shared solution and methods plan - the results of the project were leveraged by community members to advocate for policy change, which they successfully achieved. The relationship is still ongoing between the institutional and community partners despite this project happening ~2 years ago.  ",
2026-01-28 10:12:51,2026-01-28 12:16:15,0,100,7404,1,2026-01-28 12:16:15,R_1fiSnV32ApPE7qR,anonymous,EN,,,,,,,,"when all parties feel like they equally benefited and relationships were further solidified ",5,4,3,5,3,5,2,2,2,3,5,4,5,5,5,4,2,4,5,"4,11,15",,perceived trust in collaborators,5,,"3,5,6",,4,"1,2,5,6,7",,"allowing for full access of tribal groups to their naive land that was previously not available to them.  reporting to different targeted audiences (journal paper, blog posts, video footage available on youtube etc.)",4,"1,2,3,4,8",,,
